总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,装修情况
699.0,95859,"['东城', '东花市']",2室1厅1厨1卫,中楼层 ,72.92,平层,简装
609.0,107465,"['东城', '东花市']",2室1厅1厨1卫,中楼层 ,56.67,平层,精装
788.0,107519,"['东城', '东花市']",2室1厅1厨1卫,中楼层 ,73.29,平层,精装
788.0,104441,"['东城', '东直门']",2室1厅1厨1卫,中楼层 ,75.45,平层,简装
996.0,120407,"['东城', '东直门']",3室1厅1厨1卫,中楼层 ,82.72,平层,精装
590.0,110840,"['东城', '安定门']",2室1厅1厨1卫,中楼层 ,53.23,平层,简装
469.0,104641,"['东城', '广渠门']",1室0厅1厨1卫,低楼层 ,44.82,平层,精装
809.0,109207,"['东城', '崇文门']",2室1厅1厨1卫,低楼层 ,74.08,平层,精装
435.0,85178,"['东城', '建国门内']",1室1厅1厨1卫,高楼层 ,51.07,平层,简装
388.0,105665,"['东城', '朝阳门内']",1室0厅1厨1卫,底层 ,36.72,平层,精装
659.0,114351,"['东城', '和平里']",1室1厅1厨1卫,底层 ,57.63,平层,精装
510.0,95793,"['东城', '广渠门']",1室1厅1厨1卫,高楼层 ,53.24,平层,简装
512.0,93825,"['东城', '东直门']",2室1厅1厨1卫,底层 ,54.57,平层,简装
615.0,111616,"['东城', '朝阳门内']",1室1厅1厨1卫,低楼层 ,55.1,平层,精装
505.0,134380,"['东城', '和平里']",1室1厅1厨1卫,底层 ,37.58,平层,简装
550.0,142266,"['东城', '灯市口']",1室1厅1厨1卫,底层 ,38.66,平层,精装
578.0,112737,"['东城', '安贞']",1室1厅1厨1卫,中楼层 ,51.27,平层,精装
430.0,92793,"['东城', '建国门内']",1室1厅1厨1卫,低楼层 ,46.34,平层,简装
715.0,138701,"['东城', '朝阳门内']",2室1厅1厨1卫,中楼层 ,51.55,平层,精装
415.0,113327,"['东城', '崇文门']",2室0厅1厨1卫,中楼层 ,36.62,平层,精装
555.0,119202,"['东城', '和平里']",1室1厅1厨1卫,低楼层 ,46.56,平层,精装
499.0,85358,"['东城', '广渠门']",1室0厅1厨1卫,中楼层 ,58.46,平层,精装
758.0,80725,"['东城', '永定门']",2室2厅1厨1卫,高楼层 ,93.9,平层,简装
865.0,99084,"['东城', '朝阳门内']",3室1厅1厨1卫,低楼层 ,87.3,平层,毛坯
435.0,91157,"['东城', '东花市']",1室1厅1厨1卫,中楼层 ,47.72,平层,简装
585.0,64634,"['东城', '永定门']",3室1厅1厨1卫,中楼层 ,90.51,平层,简装
448.0,77576,"['东城', '左安门']",2室1厅1厨1卫,顶层 ,57.75,平层,简装
455.0,110545,"['东城', '广渠门']",2室1厅1厨1卫,中楼层 ,41.16,平层,简装
740.0,118363,"['东城', '和平里']",2室1厅1厨1卫,中楼层 ,62.52,平层,简装
568.0,86270,"['东城', '永定门']",2室1厅1厨1卫,高楼层 ,65.84,平层,简装
405.0,69125,"['东城', '永定门']",2室1厅1厨1卫,中楼层 ,58.59,平层,精装
750.0,123600,"['东城', '和平里']",2室1厅1厨1卫,低楼层 ,60.68,平层,精装
208.0,145455,"['东城', '东四']",1室0厅0厨0卫,底层 ,14.3,平层,简装
455.0,110437,"['东城', '东直门']",1室1厅1厨1卫,底层 ,41.2,平层,简装
523.0,86049,"['东城', '东直门']",2室1厅1厨1卫,底层 ,60.78,平层,精装
654.0,123490,"['东城', '灯市口']",2室1厅1厨1卫,中楼层 ,52.96,平层,精装
492.0,84609,"['东城', '左安门']",2室1厅1厨1卫,低楼层 ,58.15,平层,简装
319.0,63307,"['东城', '永定门']",2室1厅1厨1卫,底层 ,50.39,平层,简装
1330.0,124918,"['东城', '和平里']",3室1厅1厨1卫,中楼层 ,106.47,平层,精装
538.0,90619,"['东城', '建国门内']",2室1厅1厨1卫,底层 ,59.37,平层,精装
699.0,139105,"['东城', '安定门']",2室1厅1厨1卫,低楼层 ,50.25,平层,简装
570.0,102243,"['东城', '安定门']",2室1厅1厨1卫,中楼层 ,55.75,平层,简装
435.0,99248,"['东城', '安定门']",1室1厅1厨1卫,底层 ,43.83,平层,简装
629.0,108150,"['东城', '和平里']",2室1厅1厨1卫,中楼层 ,58.16,平层,简装
363.0,64568,"['东城', '永定门']",2室1厅1厨1卫,中楼层 ,56.22,平层,简装
342.0,93699,"['东城', '永定门']",1室1厅1厨1卫,低楼层 ,36.5,平层,精装
598.0,112048,"['东城', '东直门']",2室1厅1厨1卫,中楼层 ,53.37,平层,精装
349.0,81201,"['东城', '永定门']",1室1厅1厨1卫,底层 ,42.98,平层,精装
829.0,101432,"['东城', '安贞']",3室1厅1厨1卫,顶层 ,81.73,平层,简装
788.0,122838,"['东城', '安定门']",2室1厅1厨1卫,低楼层 ,64.15,平层,简装
780.0,106587,"['东城', '崇文门']",2室2厅1厨1卫,中楼层 ,73.18,平层,简装
480.0,101825,"['东城', '左安门']",1室1厅1厨1卫,中楼层 ,47.14,平层,简装
710.0,98516,"['东城', '东直门']",3室1厅1厨1卫,高楼层 ,72.07,平层,简装
750.0,65366,"['东城', '永定门']",2室1厅1厨1卫,中楼层 ,114.74,平层,简装
670.0,103555,"['东城', '和平里']",2室1厅1厨1卫,中楼层 ,64.7,平层,简装
638.0,92841,"['东城', '广渠门']",1室1厅1厨1卫,低楼层 ,68.72,平层,简装
293.0,179755,"['东城', '地安门']",1室0厅0厨0卫,底层 ,16.3,暂无数据,精装
436.0,86560,"['东城', '天坛']",2室1厅1厨1卫,中楼层 ,50.37,平层,简装
858.0,106202,"['东城', '崇文门']",2室1厅1厨1卫,低楼层 ,80.79,平层,精装
1038.0,114280,"['东城', '崇文门']",3室1厅1厨1卫,中楼层 ,90.83,平层,毛坯
498.0,93821,"['东城', '左安门']",2室1厅1厨1卫,底层 ,53.08,平层,精装
670.0,99807,"['东城', '东直门']",3室1厅1厨1卫,高楼层 ,67.13,平层,简装
489.0,66495,"['东城', '永定门']",3室1厅1厨1卫,高楼层 ,73.54,平层,精装
755.0,119576,"['东城', '安定门']",3室1厅1厨1卫,中楼层 ,63.14,平层,精装
499.0,93709,"['东城', '广渠门']",2室1厅1厨1卫,中楼层 ,53.25,平层,简装
370.0,106783,"['东城', '前门']",1室1厅1厨1卫,中楼层 ,34.65,平层,简装
1250.0,142548,"['东城', '东花市']",2室1厅1厨1卫,低楼层 ,87.69,平层,精装
778.0,102275,"['东城', '崇文门']",3室1厅1厨1卫,中楼层 ,76.07,平层,精装
532.0,82099,"['东城', '永定门']",2室1厅1厨1卫,底层 ,64.8,平层,精装
626.0,110543,"['东城', '安贞']",2室1厅1厨1卫,底层 ,56.63,平层,其他
490.0,104634,"['东城', '安贞']",1室1厅1厨1卫,顶层 ,46.83,平层,简装
720.0,138223,"['东城', '安定门']",2室1厅1厨1卫,中楼层 ,52.09,平层,精装
400.0,75019,"['东城', '永定门']",2室1厅1厨1卫,低楼层 ,53.32,平层,简装
750.0,97100,"['东城', '广渠门']",3室1厅1厨1卫,低楼层 ,77.24,平层,精装
660.0,100748,"['东城', '广渠门']",3室1厅1厨1卫,底层 ,65.51,平层,其他
660.0,87256,"['东城', '永定门']",1室1厅1厨1卫,中楼层 ,75.64,平层,简装
815.0,102931,"['东城', '崇文门']",2室1厅1厨1卫,顶层 ,79.18,平层,精装
